E1;113
E2;113
11;90
12;70
13;75
14;70
21;75
22;78
23;74
24;35
25;33
26;37
27;36
S1;34
S2;65
S3;70
S4;70
S5;70
C1;40
C2;54
C3;66
C4;56
C5;39
T1;46
T2;43
AK;30
AF;195
SP;27
102;120
103;100
104;45
105;45
