PROBABILIDADES Y ESTADISTICA Sección D;;;;;;;;;;;;;;;;;;;14;14;;;;;;;;;;;;;;;;;;;;;13;13;;;;;;;;;;;;;;;;;;;;;;;;
Física General I  A;;;;;;;;;;;;14;14;;;;;;;;;;;;;;;;;;;;;;14;14;;;;;;;;;;;;;;;;;;;;;;;;;E1;E1;E1;;;
Física General I  B;;;;;;;;;;;;21;21;;;;;;;;;;;;;;;;;;;;;;21;21;;;;;;;;;;;;;;;;;;;;;;;;;E2;E2;E2;;;
Física General I  C;;;;;;;;;;;;;;;;;11;11;;;;;;;;;;;;;;;;;;;;;11;11;;;;;;;;;;;;;;;;;;;;;102;102;102;;;
Física General I  D;;;;;;;;;;;;;;;;;21;21;;;;;;;;;;;;;;;;;;;;;21;21;;;;;;;;;;;;;;;;;;;;;103;103;103;;;
Física General I  E;;;;;;;;12;12;;;;;;;26;;;;;;;;;;;;;;12;12;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Física General I  F;;;;;;;;13;13;;;;;;;;;;;;;;;;;;;;;13;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Electricidad y Magnetismo A;;;;S2;27;27;;;;;;22;22;;;27;27;;;;;;;E2;;;C2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Electricidad y Magnetismo B;;;;;;;;;;;;;27;27;;;102;102;11;12;;;;;;;27;27;;;;;;;;;;;14;27;27;;;;;;;;;;;;;;;;;;;;;;;;;
Electricidad y Magnetismo C;;;;;;;;;;;;;;;;;;;;22;22;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Electricidad y Magnetismo D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comunicación Oral y Escrita I A;;;;;;S3;S3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comunicación Oral y Escrita I B;;;;;;S4;S4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comunicación Oral y Escrita I C;;;;;;S5;S5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comunicación Oral y Escrita I D;;;;;;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comunicación Oral y Escrita I E;;;;;;;;S3;S3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comunicación Oral y Escrita I F;;;;;;;;S4;S4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comunicación Oral y Escrita I G;;;;;;;;S5;S5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comunicación Oral y Escrita I H;;;;;;;;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comunicación Oral y Escrita I I;;;;;;;;;;;;;;S5;S5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AutoGestión del Aprendizaje A;;;;;;;14;14;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AutoGestión del Aprendizaje B;;;;;;;21;21;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AutoGestión del Aprendizaje C;;;;;;;;;;;;S4;S4;S4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AutoGestión del Aprendizaje D;;;;;;;;;;;;S3;S3;S3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AutoGestión del Aprendizaje E;;;;;;;;;;;;11;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AutoGestión del Aprendizaje F;;;;;;;;;;;;;;;;;S4;S4;S4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AutoGestión del Aprendizaje G;;;;;;;;;;;;;;;;;S3;S3;S3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AutoGestión del Aprendizaje H;;;;;;;;;;;;;;;;;12;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Frida a Cerati. Cultura y Sociedad Latinoamericana Sección A;;;;;102;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Frida a Cerati. Cultura y Sociedad Latinoamericana Sección B;;;;;;;C3;C3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Progreso Científico y Progreso Moral: ¿El avance de las ciencias permitirá mejorar la sociedad? Sección A;;;;;23;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Progreso Científico y Progreso Moral: ¿El avance de las ciencias permitirá mejorar la sociedad? Sección B;;;;;;;23;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El juego Estético-político de las representaciones de la libertad Sección B;;;;;103;103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El juego Estético-político de las representaciones de la libertad Sección A;;;;;;;C4;C4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El arte y las dos grandes guerras del siglo XX: Conceptos y Contextos Sección B;;;;;AF;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El arte y las dos grandes guerras del siglo XX: Conceptos y Contextos Sección A;;;;;;;AF;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ética y Responsabilidad Social  A (Mecatrónica + Mecánica + Eléctrica);E1;E1;L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ética y Responsabilidad Social  B (Mecatrónica + Mecánica + Eléctrica);;;;;;;;;;;;;;;;;E1;E1;L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ética y Responsabilidad Social  C (Mecatrónica + Mecánica + Eléctrica);;;;;;;;;;;;;;;;;;;;;;;;;;;;E2;E2;L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ética y Responsabilidad Social  A (Industrial + Computación);;;;;;;;;;;;S2;S2;L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ética y Responsabilidad Social  B (Industrial) + Computación);;;;;;;;;;;;;;;;;;;;;;;S2;S2;L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ética y Responsabilidad Social  C (Industrial + Computación);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S2;S2;L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ética y Responsabilidad Social  A (Obras Civiles);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ética y Responsabilidad Social  (Minas) A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;14;L;;;;;;;;;;;;;;;;;;;;;;;;
Fundamentos de Administración D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1;E1;E1;;;;;;;;;;;;;;;;;;;;;;;;;
Fundamentos de Administración A;;;S5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;11;11;;;;;;;;;;;;;
Fundamentos de Administración B;;;;;T2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1;E1;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
